t,RCoutput
1.038200000000000000e+04,-1.392231505124952307e-01
1.038300000000000000e+04,-1.262215400499056450e+00
1.038400000000000000e+04,1.133941459063434021e+00
1.038500000000000000e+04,4.906964934472330953e-01
1.038600000000000000e+04,-3.010129809849204641e-01
1.038700000000000000e+04,-6.738332474646782089e-01
1.038800000000000000e+04,-4.517925967908964502e-01
1.038900000000000000e+04,-9.032053445446419637e-01
1.039000000000000000e+04,7.524965709044550977e-02
1.039100000000000000e+04,-1.207024581955520759e+00
1.039200000000000000e+04,1.147376043323032668e+00
1.039300000000000000e+04,4.862915406638572691e-01
1.039400000000000000e+04,-2.486093403747791086e-01
1.039500000000000000e+04,-7.677575070646973643e-01
1.039600000000000000e+04,-2.661423688878152838e-01
1.039700000000000000e+04,-1.148694197659561489e+00
1.039800000000000000e+04,7.134743490271002742e-01
1.039900000000000000e+04,-5.697398223145633267e-01
1.040000000000000000e+04,-3.299082818281751095e-01
1.040100000000000000e+04,-1.020299203937708121e+00
1.040200000000000000e+04,3.166161609529556387e-01
1.040300000000000000e+04,-1.162972013277228100e+00
1.040400000000000000e+04,9.625740293377669232e-01
1.040500000000000000e+04,1.598511306708871871e-02
1.040600000000000000e+04,-6.405935981911499155e-01
1.040700000000000000e+04,-3.604414273685749848e-01
1.040800000000000000e+04,-9.611987801220709393e-01
1.040900000000000000e+04,2.877152771695721256e-01
1.041000000000000000e+04,-1.182313620920210084e+00
1.041100000000000000e+04,1.048003494293377802e+00
1.041200000000000000e+04,1.990681603586486048e-01
1.041300000000000000e+04,-6.054261832242886499e-01
1.041400000000000000e+04,-4.169185300485098722e-01
1.041500000000000000e+04,-9.325664619334235184e-01
1.041600000000000000e+04,8.606808742080573893e-02
1.041700000000000000e+04,-1.283739560975771354e+00
1.041800000000000000e+04,1.299303097008886354e+00
1.041900000000000000e+04,9.381471029349732760e-01
1.042000000000000000e+04,5.134071734767293727e-01
1.042100000000000000e+04,-3.190450612406605657e-01
1.042200000000000000e+04,-7.073264149096090136e-01
1.042300000000000000e+04,-4.778602588119094108e-01
1.042400000000000000e+04,-9.768366328161670609e-01
1.042500000000000000e+04,6.290651100443866994e-02
1.042600000000000000e+04,-1.264653597057232126e+00
1.042700000000000000e+04,1.264693459880977144e+00
1.042800000000000000e+04,7.865972498061344353e-01
1.042900000000000000e+04,2.964939871034220076e-01
1.043000000000000000e+04,-6.920697297769971001e-01
1.043100000000000000e+04,-3.067258601590108213e-01
1.043200000000000000e+04,-1.063044650036994554e+00
1.043300000000000000e+04,5.336638667056803342e-01
1.043400000000000000e+04,-8.871571972115184224e-01
1.043500000000000000e+04,3.262868929567539489e-01
1.043600000000000000e+04,-1.131505211618066165e+00
1.043700000000000000e+04,8.978665588755827542e-01
1.043800000000000000e+04,-2.120528354363866441e-01
1.043900000000000000e+04,-5.966378418524094229e-01
1.044000000000000000e+04,-4.938068595031483987e-01
1.044100000000000000e+04,-7.859819276543484889e-01
1.044200000000000000e+04,-1.811967903123203882e-01
1.044300000000000000e+04,-1.188400838077868116e+00
1.044400000000000000e+04,9.083611113974221496e-01
1.044500000000000000e+04,-1.679524158963907610e-01
1.044600000000000000e+04,-7.793087234537354746e-01
1.044700000000000000e+04,-3.085727426179065702e-01
1.044800000000000000e+04,-1.150086407903584629e+00
1.044900000000000000e+04,7.220755303061796582e-01
1.045000000000000000e+04,-5.132667571184370559e-01
1.045100000000000000e+04,-4.318144172032671868e-01
1.045200000000000000e+04,-8.089439006029768287e-01
1.045300000000000000e+04,-1.311884239007401476e-01
1.045400000000000000e+04,-1.284380384982342083e+00
1.045500000000000000e+04,1.148325988216267302e+00
1.045600000000000000e+04,5.446462830800253840e-01
1.045700000000000000e+04,-2.508330051282450235e-01
